;Directed_by;reviews;Cluster 0;Cluster 1;Cluster 2;viewers(millions);IMDB rating
0;David Nutter;7572;0.0151957366615533;0.1910260021686554;0.7937783002853394;4.14;8.5
1;David Barrett;5731;0.0143126072362065;0.9471049308776855;0.0385824330151081;3.55;8.2
2;Guy Bee;5367;0.0497731827199459;0.8761131167411804;0.0741136893630027;3.51;8.4
3;Vince Misiano;5071;0.1101724132895469;0.2049955874681472;0.6848320364952087;3.05;8.3
4;Michael Schultz;5011;0.0671902671456337;0.9086451530456544;0.0241645872592926;3.75;8.6
5;John Behring;4749;0.6940271258354187;0.2399490922689438;0.0660237520933151;3.83;7.9
6;David Grossman;4664;0.3700868487358093;0.4950965940952301;0.1348165869712829;3.74;8.2
7;Ken Fink;4539;0.0974008440971374;0.3652918636798858;0.5373072624206543;3.35;8.1
8;John Dahl;4353;0.0445570647716522;0.6275753378868103;0.3278675973415375;3.11;8.4
9;Eagle Egilsson;4454;0.0103790219873189;0.2906835973262787;0.6989374160766602;3.06;7.8
10;Nick Copus;4255;0.6223148107528687;0.228676825761795;0.1490084081888198;3.14;8.1
11;Wendey Stanzler;4295;0.0527277775108814;0.0165777690708637;0.9306945204734802;2.97;8.4
12;Guy Bee;4393;0.0273210648447275;0.9690684676170348;0.0;2.96;8.6
13;John Behring;4678;0.6758155226707458;0.321618378162384;0.0;3.29;8.8
14;Eagle Egilsson;4183;0.0113322176039218;0.1372310370206833;0.8514367938041687;3.15;8.0
15;Glen Winter;4364;0.4398258030414581;0.0274871103465557;0.5326870679855347;3.17;8.7
16;Guy Bee;4193;0.1193647533655166;0.8722082376480103;0.0;3.02;8.1
17;Nick Copus;4086;0.8000993132591248;0.1997790038585662;0.0;2.65;8.3
18;Michael Offer;4023;0.4820597767829895;0.087374709546566;0.4305655658245086;2.92;8.2
19;Ken Fink;4090;0.9967960715293884;0.0;0.0;3.1;8.5
20;Michael Schultz;4367;0.4581423997879028;0.056573212146759;0.4852843880653381;2.89;8.8
21;John Behring;4897;0.0475186705589294;0.0702610686421394;0.8822202682495117;2.62;9.1
22;David Barrett;7375;0.0207317396998405;0.9738237261772156;0.0;2.77;9.5
23;John Behring;5471;0.990191638469696;0.0;0.0;2.74;8.7
24;Nick Copus;4427;0.0188061725348234;0.0752587094902992;0.9059351682662964;3.06;8.5
25;Glen Winter;4534;0.0163419675081968;0.9786855578422546;0.0;2.89;8.7
26;Eagle Egilsson;4404;0.1726230680942535;0.8242128491401672;0.0;2.37;8.6
27;Wendey Stanzler;4447;0.0152950650081038;0.9818452596664428;0.0;2.8;8.8
28;Guy Bee;4122;0.1006834879517555;0.4358874261379242;0.4634290337562561;3.09;8.4
29;Bethany Rooney;4239;0.0569231323897838;0.249697670340538;0.6933792233467102;2.66;8.5
30;Michael Schultz;4950;0.3888852000236511;0.3099781572818756;0.3011366128921509;3.24;9.1
31;John Behring;5720;0.0484427735209465;0.0771127268671989;0.8744445443153381;3.02;9.3
32;Rob Hardy;3921;0.0610009171068668;0.0292063783854246;0.9097927212715148;2.52;8.3
33;Glen Winter;3933;0.0191829409450292;0.0605323985219001;0.920284628868103;2.49;8.6
34;Guy Bee;3977;0.0559271834790706;0.0365833081305027;0.907489538192749;2.95;8.6
35;Wendey Stanzler;4264;0.0103327892720699;0.0170265454798936;0.9726406931877136;2.86;8.7
36;Nick Copus;4267;0.1388174444437027;0.8607662916183472;0.0;2.45;8.8
37;Glen Winter;4951;0.0322317890822887;0.1020203158259391;0.86574786901474;2.21;9.2
38;Larry Teng;4091;0.5375542044639587;0.1635697782039642;0.298876017332077;2.42;8.5
39;John Behring;3846;0.0756485760211944;0.0412770323455333;0.8830744028091431;2.62;8.2
40;Jesse Warn;4427;0.9915564060211182;0.0;0.0;2.26;9.0
41;Doug Aarniokoski;6136;0.7961959838867188;0.1026483997702598;0.1011556163430213;2.19;9.3
42;Michael Schultz;4671;0.0446038283407688;0.9499813318252563;0.0;2.31;9.0
43;Nick Copus;5016;0.0264354199171066;0.0284638088196516;0.9451007843017578;2.33;9.2
44;John Behring;7070;0.0389395765960216;0.0322331078350544;0.9288272857666016;2.37;9.5
45;Glen Winter;5739;0.1706876456737518;0.1246514990925788;0.7046608924865723;2.83;8.9
46;Wendey Stanzler;4204;0.0173611752688884;0.9793344140052797;0.0;2.32;8.5
47;Stephen Surjik;3897;0.0189518798142671;0.0480632744729518;0.9329848289489746;2.55;8.2
48;Michael Schultz;4347;0.2378288656473159;0.0235233828425407;0.7386477589607239;2.73;8.4
49;Peter Leto;3708;0.1126548200845718;0.2429093271493911;0.6444358825683594;2.6;8.1
50;Rob Hardy;3870;0.5156542658805847;0.0415818095207214;0.4427639245986938;2.64;8.0
51;Jesse Warn;5733;0.9992920756340028;0.0;0.0;3.92;9.2
52;Thor Freudenthal;11347;0.0264684315770864;0.0827545374631881;0.890777051448822;3.06;9.6
53;Glen Winter;4203;0.0149101978167891;0.9812787771224976;0.0;3.06;8.5
54;Nick Copus;3684;0.0904546007514;0.1353340595960617;0.7742113471031189;2.91;8.0
55;Jesse Warn;3937;0.1359940618276596;0.0314154215157032;0.8325905203819275;2.94;8.5
56;Michael Schultz;3748;0.0452919267117977;0.0220898650586605;0.9326182007789612;2.67;8.3
57;Dermott Downs;3806;0.238747090101242;0.0429198667407035;0.7183330655097961;2.91;8.4
58;Gregory Smith;4561;0.142782911658287;0.0233391765505075;0.8338779211044312;3.07;8.8
59;Dermott Downs;3692;0.2003229707479477;0.7460537552833557;0.0536232627928257;2.56;8.3
60;Jesse Warn;3635;0.1734823137521743;0.6180740594863892;0.2084436267614364;2.86;8.4
61;Dwight Little;4159;0.5130202174186707;0.2344160079956054;0.2525638341903686;2.48;8.9
62;Doug Aarniokoski;4599;0.0708805695176124;0.0840105712413787;0.8451089262962341;2.47;9.0
63;Antonio Negret;4355;0.1787686944007873;0.3225396275520324;0.4986917078495025;2.72;8.7
64;Thor Freudenthal;3855;0.4957366287708282;0.5020877122879028;0.0;2.39;8.5
65;Wendey Stanzler;4139;0.0846796333789825;0.0396536029875278;0.8756667375564575;2.54;8.8
66;John Behring;5099;0.5590581297874451;0.1466351896524429;0.2943066954612732;2.83;8.2
67;Thor Freudenthal;5014;0.0510050393640995;0.043722927570343;0.9052720069885254;2.67;8.3
68;John Behring;3479;0.4310076534748077;0.5657708644866943;0.0;2.5;8.0
69;Wendey Stanzler;3355;0.2127801179885864;0.7823536992073059;0.0;2.4;8.0
70;Lexi Alexander;3289;0.0103611852973699;0.0582288205623626;0.931410014629364;2.64;8.2
71;John Badham;4401;0.9912124276161194;0.0;0.0;2.6;8.8
72;Antonio Negret;3295;0.0843950062990188;0.0199506245553493;0.8956543207168579;2.3;7.9
73;James Bamford;3081;0.5256268978118896;0.4712459444999695;0.0;2.69;8.0
74;Thor Freudenthal;4432;0.0703807324171066;0.2801937162876129;0.6494255661964417;3.66;9.0
75;John Behring;3829;0.6049851179122925;0.3524767458438873;0.0425381362438201;2.82;8.8
76;Jesse Warn;3078;0.0512369759380817;0.9403502345085144;0.0;2.83;7.9
77;Charlotte Brandström;2952;0.7322096824645996;0.1325343251228332;0.1352559775114059;2.78;7.8
78;Kevin Fair;2967;0.69408118724823;0.1726243197917938;0.1332945376634597;2.48;8.1
79;Gordon Verheul;3130;0.4338331818580627;0.470239907503128;0.0959269255399704;2.44;8.3
80;James Bamford;2885;0.9877163171768188;0.0;0.0;2.44;7.7
81;Gregory Smith;3226;0.1279691904783249;0.8667269945144653;0.0;2.7;8.1
