episodios,nota_imdb,qtd_reviews
/series/Arrow-2193021/season-1/episode-1-Pilot,8.5,7572
/series/Arrow-2193021/season-1/episode-2-Honor_Thy_Father,8.2,5731
/series/Arrow-2193021/season-1/episode-3-Lone_Gunmen,8.4,5367
/series/Arrow-2193021/season-1/episode-4-An_Innocent_Man,8.3,5071
/series/Arrow-2193021/season-1/episode-5-Damaged,8.6,5011
/series/Arrow-2193021/season-1/episode-6-Legacies,7.9,4749
/series/Arrow-2193021/season-1/episode-7-Muse_of_Fire,8.2,4664
/series/Arrow-2193021/season-1/episode-8-Vendetta,8.1,4539
/series/Arrow-2193021/season-1/episode-9-Years_End,8.4,4353
/series/Arrow-2193021/season-1/episode-10-Burned,7.8,4454
/series/Arrow-2193021/season-1/episode-11-Trust_But_Verify,8.1,4255
/series/Arrow-2193021/season-1/episode-12-Vertigo,8.4,4295
/series/Arrow-2193021/season-1/episode-13-Betrayal,8.6,4393
/series/Arrow-2193021/season-1/episode-14-The_Odyssey,8.8,4678
/series/Arrow-2193021/season-1/episode-15-Dodger,8,4183
/series/Arrow-2193021/season-1/episode-16-Dead_to_Rights,8.7,4364
/series/Arrow-2193021/season-1/episode-17-The_Huntress_Returns,8.1,4193
/series/Arrow-2193021/season-1/episode-18-Salvation,8.3,4086
/series/Arrow-2193021/season-1/episode-19-Unfinished_Business,8.2,4023
/series/Arrow-2193021/season-1/episode-20-Home_Invasion,8.5,4090
/series/Arrow-2193021/season-1/episode-21-The_Undertaking,8.8,4367
/series/Arrow-2193021/season-1/episode-22-Darkness_on_the_Edge_of_Town,9.1,4897
/series/Arrow-2193021/season-1/episode-23-Sacrifice,9.5,7375
/series/Arrow-2193021/season-2/episode-1-City_of_Heroes,8.7,5471
/series/Arrow-2193021/season-2/episode-2-Identity,8.5,4427
/series/Arrow-2193021/season-2/episode-3-Broken_Dolls,8.7,4534
/series/Arrow-2193021/season-2/episode-4-Crucible,8.6,4404
/series/Arrow-2193021/season-2/episode-5-League_of_Assassins,8.8,4447
/series/Arrow-2193021/season-2/episode-6-Keep_Your_Enemies_Closer,8.4,4122
/series/Arrow-2193021/season-2/episode-7-State_v_Queen,8.5,4239
/series/Arrow-2193021/season-2/episode-8-The_Scientist,9.1,4950
/series/Arrow-2193021/season-2/episode-9-Three_Ghosts,9.3,5720
/series/Arrow-2193021/season-2/episode-10-Blast_Radius,8.3,3921
/series/Arrow-2193021/season-2/episode-11-Blind_Spot,8.6,3933
/series/Arrow-2193021/season-2/episode-12-Tremors,8.6,3977
/series/Arrow-2193021/season-2/episode-13-Heir_to_the_Demon,8.7,4264
/series/Arrow-2193021/season-2/episode-14-Time_of_Death,8.8,4267
/series/Arrow-2193021/season-2/episode-15-The_Promise,9.2,4951
/series/Arrow-2193021/season-2/episode-16-Suicide_Squad,8.5,4091
/series/Arrow-2193021/season-2/episode-17-Birds_of_Prey,8.2,3846
/series/Arrow-2193021/season-2/episode-19-The_Man_Under_the_Hood,9,4427
/series/Arrow-2193021/season-2/episode-20-Seeing_Red,9.3,6136
/series/Arrow-2193021/season-2/episode-21-City_of_Blood,9,4671
/series/Arrow-2193021/season-2/episode-22-Streets_of_Fire,9.2,5016
/series/Arrow-2193021/season-2/episode-23-Unthinkable,9.5,7070
/series/Arrow-2193021/season-3/episode-1-The_Calm,8.9,5739
/series/Arrow-2193021/season-3/episode-2-Sara,8.5,4204
/series/Arrow-2193021/season-3/episode-3-Corto_Maltese,8.2,3897
/series/Arrow-2193021/season-3/episode-5-The_Secret_Origin_of_Felicity_Smoak,8.4,4347
/series/Arrow-2193021/season-3/episode-6-Guilty,8.1,3708
/series/Arrow-2193021/season-3/episode-7-Draw_Back_Your_Bow,8,3870
/series/Arrow-2193021/season-3/episode-8-The_Brave_and_the_Bold,9.2,5733
/series/Arrow-2193021/season-3/episode-9-The_Climb,9.6,11347
/series/Arrow-2193021/season-3/episode-10-Left_Behind,8.5,4203
/series/Arrow-2193021/season-3/episode-11-Midnight_City,8,3684
/series/Arrow-2193021/season-3/episode-12-Uprising,8.5,3937
/series/Arrow-2193021/season-3/episode-13-Canaries,8.3,3748
/series/Arrow-2193021/season-3/episode-14-The_Return,8.4,3806
/series/Arrow-2193021/season-3/episode-15-Nanda_Parbat,8.8,4561
/series/Arrow-2193021/season-3/episode-16-The_Offer,8.3,3692
/series/Arrow-2193021/season-3/episode-17-Suicidal_Tendencies,8.4,3635
/series/Arrow-2193021/season-3/episode-18-Public_Enemy,8.9,4159
/series/Arrow-2193021/season-3/episode-19-Broken_Arrow,9,4599
/series/Arrow-2193021/season-3/episode-20-The_Fallen,8.7,4355
/series/Arrow-2193021/season-3/episode-21-Al_Sah-Him,8.5,3855
/series/Arrow-2193021/season-3/episode-22-This_Is_Your_Sword,8.8,4139
/series/Arrow-2193021/season-3/episode-23-My_Name_Is_Oliver_Queen,8.2,5099
/series/Arrow-2193021/season-4/episode-1-Green_Arrow,8.3,5014
/series/Arrow-2193021/season-4/episode-2-The_Candidate,8,3479
/series/Arrow-2193021/season-4/episode-3-Restoration,8,3355
/series/Arrow-2193021/season-4/episode-4-Beyond_Redemption,8.2,3289
/series/Arrow-2193021/season-4/episode-5-Haunted,8.8,4401
/series/Arrow-2193021/season-4/episode-6-Lost_Souls,7.9,3295
/series/Arrow-2193021/season-4/episode-7-Brotherhood,8,3081
/series/Arrow-2193021/season-4/episode-8-Legends_of_Yesterday,9,4432
/series/Arrow-2193021/season-4/episode-9-Dark_Waters,8.8,3829
/series/Arrow-2193021/season-4/episode-10-Blood_Debts,7.9,3078
/series/Arrow-2193021/season-4/episode-11-AWOL,7.8,2952
/series/Arrow-2193021/season-4/episode-12-Unchained,8.1,2967
/series/Arrow-2193021/season-4/episode-13-Sins_of_the_Father,8.3,3130
/series/Arrow-2193021/season-4/episode-14-Code_of_Silence,7.7,2885
/series/Arrow-2193021/season-4/episode-15-Taken,8.1,3226
/series/Arrow-2193021/season-4/episode-16-Broken_Hearts,6.1,3896
/series/Arrow-2193021/season-4/episode-17-Beacon_of_Hope,6.6,3385
/series/Arrow-2193021/season-4/episode-18-Eleven-Fifty-Nine,7.1,4494
/series/Arrow-2193021/season-4/episode-19-Canary_Cry,6.6,3620
/series/Arrow-2193021/season-4/episode-20-Genesis,7.4,3228
/series/Arrow-2193021/season-4/episode-21-Monument_Point,7.1,3030
/series/Arrow-2193021/season-4/episode-22-Lost_in_the_Flood,7,3017
/series/Arrow-2193021/season-4/episode-23-Schism,5.5,5274
/series/Arrow-2193021/season-5/episode-1-Legacy,8.3,3650
/series/Arrow-2193021/season-5/episode-2-The_Recruits,8.2,2970
/series/Arrow-2193021/season-5/episode-3-A_Matter_of_Trust,8.1,2736
/series/Arrow-2193021/season-5/episode-4-Penance,8.1,2608
/series/Arrow-2193021/season-5/episode-5-Human_Target,8.6,2848
/series/Arrow-2193021/season-5/episode-6-So_It_Begins,8.3,2589
/series/Arrow-2193021/season-5/episode-7-Vigilante,8.3,2536
/series/Arrow-2193021/season-5/episode-8-Invasion,9.1,4395
/series/Arrow-2193021/season-5/episode-9-What_We_Leave_Behind,9.2,3656
/series/Arrow-2193021/season-5/episode-10-Who_Are_You,7.8,2679
/series/Arrow-2193021/season-5/episode-11-Second_Chances,8.2,2413
/series/Arrow-2193021/season-5/episode-12-Bratva,8.1,2320
/series/Arrow-2193021/season-5/episode-13-Spectre_of_the_Gun,7.4,2698
/series/Arrow-2193021/season-5/episode-14-The_Sin-Eater,7.8,2274
