;No.overall;No. inseason;Title;Directed by;Written by;Original air date;Prod.code;U.S. viewers(millions)
0;1;1;"""Pilot""";David Nutter;Story by : Greg Berlanti & Marc GuggenheimTeleplay by : Andrew Kreisberg & Marc Guggenheim;October 10, 2012;296818;4.14[9]
1;2;2;"""Honor Thy Father""";David Barrett;Story by : Greg Berlanti & Marc GuggenheimTeleplay by : Andrew Kreisberg & Marc Guggenheim;October 17, 2012;2J7302;3.55[10]
2;3;3;"""Lone Gunmen""";Guy Bee;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Marc Guggenheim & Andrew Kreisberg;October 24, 2012;2J7303;3.51[11]
3;4;4;"""An Innocent Man""";Vince Misiano;Moira Kirland & Lana Cho;October 31, 2012;2J7304;3.05[12]
4;5;5;"""Damaged""";Michael Schultz;Wendy Mericle & Ben Sokolowski;November 7, 2012;2J7305;3.75[13]
5;6;6;"""Legacies""";John Behring;Moira Kirland & Marc Guggenheim;November 14, 2012;2J7306;3.83[14]
6;7;7;"""Muse of Fire""";David Grossman;Story by : Andrew KreisbergTeleplay by : Geoff Johns & Marc Guggenheim;November 28, 2012;2J7307;3.74[15]
7;8;8;"""Vendetta""";Ken Fink;Beth Schwartz & Andrew Kreisberg;December 5, 2012;2J7308;3.35[16]
8;9;9;"""Year's End""";John Dahl;Story by : Greg Berlanti & Marc GuggenheimTeleplay by : Andrew Kreisberg & Marc Guggenheim;December 12, 2012;2J7309;3.11[17]
9;10;10;"""Burned""";Eagle Egilsson;Moira Kirland & Ben Sokolowski;January 16, 2013;2J7310;3.06[18]
10;11;11;"""Trust But Verify""";Nick Copus;Gabrielle Stanton;January 23, 2013;2J7311;3.14[19]
11;12;12;"""Vertigo""";Wendey Stanzler;Wendy Mericle & Ben Sokolowski;January 30, 2013;2J7312;2.97[20]
12;13;13;"""Betrayal""";Guy Bee;Lana Cho & Beth Schwartz;February 6, 2013;2J7313;2.96[21]
13;14;14;"""The Odyssey""";John Behring;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Andrew Kreisberg & Marc Guggenheim;February 13, 2013;2J7314;3.29[22]
14;15;15;"""Dodger""";Eagle Egilsson;Beth Schwartz;February 20, 2013;2J7315;3.15[23]
15;16;16;"""Dead to Rights""";Glen Winter;Geoff Johns;February 27, 2013;2J7316;3.17[24]
16;17;17;"""The Huntress Returns""";Guy Bee;Jake Coburn & Lana Cho;March 20, 2013;2J7317;3.02[25]
17;18;18;"""Salvation""";Nick Copus;Drew Z. Greenberg & Wendy Mericle;March 27, 2013;2J7318;2.65[26]
18;19;19;"""Unfinished Business""";Michael Offer;Bryan Q. Miller & Lindsey Allen;April 3, 2013;2J7319;2.92[27]
19;20;20;"""Home Invasion""";Ken Fink;Ben Sokolowski & Beth Schwartz;April 24, 2013;2J7320;3.10[28]
20;21;21;"""The Undertaking""";Michael Schultz;Jake Coburn & Lana Cho;May 1, 2013;2J7321;2.89[29]
21;22;22;"""Darkness on the Edge of Town""";John Behring;Drew Z. Greenberg & Wendy Mericle;May 8, 2013;2J7322;2.62[30]
22;23;23;"""Sacrifice""";David Barrett;Story by : Greg BerlantiTeleplay by : Marc Guggenheim & Andrew Kreisberg;May 15, 2013;2J7323;2.77[31]
0;24;1;"""City of Heroes""";John Behring;Story by : Greg BerlantiTeleplay by : Andrew Kreisberg & Marc Guggenheim;October 9, 2013;2J7451;2.74[32]
1;25;2;"""Identity""";Nick Copus;Ben Sokolowski & Beth Schwartz;October 16, 2013;2J7452;3.06[33]
2;26;3;"""Broken Dolls""";Glen Winter;Marc Guggenheim & Keto Shimizu;October 23, 2013;2J7453;2.89[34]
3;27;4;"""Crucible""";Eagle Egilsson;Andrew Kreisberg & Wendy Mericle;October 30, 2013;2J7454;2.37[35]
4;28;5;"""League of Assassins""";Wendey Stanzler;Jake Coburn & Drew Z. Greenberg;November 6, 2013;2J7455;2.80[36]
5;29;6;"""Keep Your Enemies Closer""";Guy Bee;Ben Sokolowski & Beth Schwartz;November 13, 2013;2J7456;3.09[37]
6;30;7;"""State v. Queen""";Bethany Rooney;Marc Guggenheim & Drew Z. Greenberg;November 20, 2013;2J7457;2.66[38]
7;31;8;"""The Scientist""";Michael Schultz;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Andrew Kreisberg & Geoff Johns;December 4, 2013;2J7458;3.24[39]
8;32;9;"""Three Ghosts""";John Behring;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Geoff Johns & Ben Sokolowski;December 11, 2013;2J7459;3.02[40]
9;33;10;"""Blast Radius""";Rob Hardy;Jake Coburn & Keto Shimizu;January 15, 2014;2J7460;2.52[41]
10;34;11;"""Blind Spot""";Glen Winter;Wendy Mericle & Beth Schwartz;January 22, 2014;2J7461;2.49[42]
11;35;12;"""Tremors""";Guy Bee;Marc Guggenheim & Drew Z. Greenberg;January 29, 2014;2J7462;2.95[43]
12;36;13;"""Heir to the Demon""";Wendey Stanzler;Jake Coburn;February 5, 2014;2J7463;2.86[44]
13;37;14;"""Time of Death""";Nick Copus;Wendy Mericle & Beth Schwartz;February 26, 2014;2J7464;2.45[45]
14;38;15;"""The Promise""";Glen Winter;Jake Coburn & Ben Sokolowski;March 5, 2014;2J7465;2.21[46]
15;39;16;"""Suicide Squad""";Larry Teng;Keto Shimizu & Bryan Q. Miller;March 19, 2014;2J7466;2.42[47]
16;40;17;"""Birds of Prey""";John Behring;Mark Bemesderfer & A.C. Bradley;March 26, 2014;2J7467;2.62[48]
17;41;18;"""Deathstroke""";Guy Bee;Marc Guggenheim & Drew Z. Greenberg;April 2, 2014;2J7468;2.32[49]
18;42;19;"""The Man Under the Hood""";Jesse Warn;Story by : Greg Berlanti & Geoff JohnsTeleplay by : Andrew Kreisberg & Keto Shimizu;April 16, 2014;2J7469;2.26[50]
19;43;20;"""Seeing Red""";Doug Aarniokoski;Wendy Mericle & Beth Schwartz;April 23, 2014;2J7470;2.19[51]
20;44;21;"""City of Blood""";Michael Schultz;Holly Harold;April 30, 2014;2J7471;2.31[52]
21;45;22;"""Streets of Fire""";Nick Copus;Jake Coburn & Ben Sokolowski;May 7, 2014;2J7472;2.33[53]
22;46;23;"""Unthinkable""";John Behring;Story by : Greg BerlantiTeleplay by : Marc Guggenheim & Andrew Kreisberg;May 14, 2014;2J7473;2.37[54]
0;47;1;"""The Calm""";Glen Winter;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Marc Guggenheim & Jake Coburn;October 8, 2014;3J5151;2.83[55]
1;48;2;"""Sara""";Wendey Stanzler;Jake Coburn & Keto Shimizu;October 15, 2014;3J5152;2.32[56]
2;49;3;"""Corto Maltese""";Stephen Surjik;Erik Oleson & Beth Schwartz;October 22, 2014;3J5153;2.55[57]
3;50;4;"""The Magician""";John Behring;Marc Guggenheim & Wendy Mericle;October 29, 2014;3J5154;2.49[58]
4;51;5;"""The Secret Origin of Felicity Smoak""";Michael Schultz;Ben Sokolowski & Brian Ford Sullivan;November 5, 2014;3J5155;2.73[59]
5;52;6;"""Guilty""";Peter Leto;Erik Oleson & Keto Shimizu;November 12, 2014;3J5156;2.60[60]
6;53;7;"""Draw Back Your Bow""";Rob Hardy;Wendy Mericle & Beth Schwartz;November 19, 2014;3J5157;2.64[61]
7;54;8;"""The Brave and the Bold""";Jesse Warn;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Marc Guggenheim & Grainne Godfree;December 3, 2014;3J5158;3.92[62]
