iter	RMSE
0	0.6453612912
1	0.6412177125
2	0.6378452525
3	0.6336033577
4	0.6293239422
5	0.625431634
6	0.6212355129
7	0.6186817817
8	0.6158563919
9	0.6119510972
10	0.607562467
11	0.6043227036
12	0.6009254672
13	0.5974295753
14	0.5944233372
15	0.5910028104
16	0.5881254989
17	0.5845496527
18	0.5826621001
19	0.5800066152
20	0.5787870549
21	0.5755521935
22	0.5725249686
23	0.5695018081
24	0.566950377
25	0.5640171612
26	0.5609117386
27	0.5581905826
28	0.5545210035
29	0.5522284197
30	0.5493458598
31	0.5469370304
32	0.5438701641
33	0.5411178623
34	0.5393455936
35	0.5369336535
36	0.5346900382
37	0.5331741685
38	0.5314294127
39	0.5291445977
40	0.5264737456
41	0.5241067709
42	0.5231120296
43	0.5210931502
44	0.5183944266
45	0.5171335792
46	0.5148248876
47	0.5129063165
48	0.5117789743
49	0.5097086695
50	0.5084408811
51	0.5060351598
52	0.5043158813
53	0.5031203524
54	0.5010640134
55	0.4992555512
56	0.4971314073
57	0.4948152732
58	0.4933865713
59	0.4913782355
60	0.4896691257
61	0.4874600257
62	0.4849932712
63	0.4823321415
64	0.4808997583
65	0.4793488765
66	0.4776525349
67	0.4753366378
68	0.4729479576
69	0.4719052058
70	0.470076748
71	0.4670818787
72	0.4653455707
73	0.4635091812
74	0.4625894223
75	0.461043117
76	0.4589660584
77	0.4578976836
78	0.4571211681
79	0.4555116942
80	0.453224727
81	0.4506883833
82	0.449573756
83	0.4489226847
84	0.4470607854
85	0.4456843077
86	0.4438540316
87	0.4418748934
88	0.4409754851
89	0.4402541039
90	0.4384964662
91	0.4354093299
92	0.4348285673
93	0.4333799569
94	0.4315495573
95	0.4295154083
96	0.4272801311
97	0.425839639
98	0.4243799332
99	0.422730516
100	0.4217253358
101	0.4199098859
102	0.4188918098
103	0.4178467613
104	0.4163717442
105	0.4159661639
106	0.4143590148
107	0.4129203938
108	0.4111415396
109	0.409724282
110	0.4091103207
111	0.4079645029
112	0.4070349399
113	0.4060376569
114	0.4050634044
115	0.4036896269
116	0.4027459365
117	0.4016101769
118	0.3990536249
119	0.3978929815
120	0.3973584242
121	0.3961337048
122	0.3945266616
123	0.3931055457
124	0.3916625955
125	0.3902472921
126	0.3890483123
127	0.3884154652
128	0.386882146
129	0.3846346214
130	0.3832035437
131	0.3824231064
132	0.3811373686
133	0.3802137696
134	0.3791883356
135	0.377786048
136	0.376839522
137	0.3749137113
138	0.3729965381
139	0.3724094565
140	0.3706137619
141	0.3691076213
142	0.3684458083
143	0.3669666462
144	0.3661173359
145	0.364562172
146	0.3638818318
147	0.363065333
148	0.3621722578
149	0.3614187587
150	0.3605202943
151	0.3593582558
152	0.3587183715
153	0.3573911065
154	0.3567123869
155	0.3551389353
156	0.3545902006
157	0.3535763451
158	0.3529259978
159	0.3522505616
160	0.3512226421
161	0.3497790293
162	0.3481295349
163	0.3464285062
164	0.3452608623
165	0.3437749295
166	0.3430180579
167	0.3423119198
168	0.3412178157
169	0.3404368939
170	0.3393534676
171	0.3383338142
172	0.3375953076
173	0.3361865563
174	0.3351101571
175	0.3340933648
176	0.3332389426
177	0.3322759076
178	0.3318743295
179	0.3310946597
180	0.3298059114
181	0.3285300567
182	0.3276934565
183	0.3268336953
184	0.3262280422
185	0.3254637575
186	0.3240214461
187	0.3227184665
188	0.3220959903
189	0.32147345
190	0.320157992
191	0.3196163085
192	0.3187589518
193	0.318051605
194	0.3171186857
195	0.3161013394
196	0.3152987455
197	0.3144163851
198	0.3138133495
199	0.3126921218
200	0.3116373289
201	0.3109258329
202	0.3097439359
203	0.3091123535
204	0.3084191695
205	0.3077443271
206	0.3067502303
207	0.3058285997
208	0.3049928461
209	0.3044035727
210	0.3034498892
211	0.3029126947
212	0.3020495254
213	0.3015475848
214	0.3010535583
215	0.3005854827
216	0.3000001278
217	0.2991602393
218	0.2987116118
219	0.2979429752
220	0.2963381449
221	0.2958013037
222	0.2949535095
223	0.2947236931
224	0.2938992901
225	0.2932938092
226	0.2925817425
227	0.2917132033
228	0.2912292041
229	0.2908038659
230	0.2892515955
231	0.2885477678
232	0.2877039731
233	0.2871639449
234	0.2866163404
235	0.2859576207
236	0.2849498607
237	0.2844019709
238	0.2830060116
239	0.2820047772
240	0.2811993765
241	0.2805158833
242	0.27987947
243	0.279001631
244	0.2784172921
245	0.277833339
246	0.2764933381
247	0.2750897348
248	0.2736353188
249	0.2723322395
250	0.2717526453
251	0.2713081364
252	0.270571013
253	0.2699793927
254	0.2694945104
255	0.269017445
256	0.2683819817
257	0.2672254855
258	0.2659682413
259	0.2647411038
260	0.2642769925
261	0.2639651054
262	0.2635544318
263	0.2634191191
264	0.2629133813
265	0.262174039
266	0.2615900833
267	0.2610842407
268	0.2605932646
269	0.2599422044
270	0.2595613238
271	0.2591050137
272	0.2581174371
273	0.2576891541
274	0.2571945879
275	0.2559948677
276	0.254686264
277	0.25423205
278	0.2538909447
279	0.2532767721
280	0.2527766322
281	0.2522818891
282	0.2519081737
283	0.2514985441
284	0.2503135464
285	0.2499461157
286	0.2492593401
287	0.2489594908
288	0.2485686009
289	0.2477904602
290	0.2474589352
291	0.2461968796
292	0.2448270248
293	0.244428483
294	0.2441346375
295	0.2439711036
296	0.2436085463
297	0.2434904694
298	0.2421227606
299	0.2413371222
300	0.2408094009
301	0.2396259395
302	0.2387229902
303	0.2380647983
304	0.2376950935
305	0.2364699327
306	0.2357949013
307	0.2354923076
308	0.2345483229
309	0.2337658724
310	0.2331771061
311	0.2327228802
312	0.2323750183
313	0.2318162384
314	0.2316628784
315	0.2313315817
316	0.2312369877
317	0.2307993035
318	0.2304752096
319	0.2301513322
320	0.2298192203
321	0.2291975303
322	0.2289666556
323	0.2281638505
324	0.2270662497
325	0.2267823353
326	0.2264060489
327	0.226018621
328	0.2250572554
329	0.2239422147
330	0.223322412
331	0.2229128991
332	0.2216859896
333	0.2208498114
334	0.2204110535
335	0.2200649719
336	0.2192287271
337	0.2187965993
338	0.21845955
339	0.21821001
340	0.2178519311
341	0.2174001433
342	0.2171602075
343	0.2166450703
344	0.2155998591
345	0.2150957927
346	0.2146775552
347	0.2143235189
348	0.2135802026
349	0.2130665473
350	0.2126766541
351	0.2124039092
352	0.2118674118
353	0.2115489861
354	0.2112476092
355	0.2107898075
356	0.2103522606
357	0.2098876541
358	0.2098319939
359	0.2097795316
360	0.2096967047
361	0.2092620457
362	0.2090473691
363	0.208813594
364	0.2085570396
365	0.2075804694
366	0.2072500146
367	0.2062528357
368	0.2052157573
369	0.2047525966
370	0.2039873603
371	0.202992357
372	0.201815355
373	0.2015904575
374	0.2013142632
375	0.2005054604
376	0.2004046783
377	0.2001187073
378	0.1995435363
379	0.1993135312
380	0.1983282269
381	0.1980235798
382	0.1978273325
383	0.1968856442
384	0.1966457535
385	0.1962988882
386	0.1954250401
387	0.1953360786
388	0.1944370669
389	0.1943429093
390	0.1940176928
391	0.193512476
392	0.1928117428
393	0.1926969634
394	0.1920728424
395	0.191668289
396	0.1914657462
397	0.191231261
398	0.1911602823
399	0.1908221975
400	0.1902903684
401	0.1900927998
402	0.1900327384
403	0.189298629
404	0.1892089842
405	0.1891317413
406	0.1889997789
407	0.1882249373
408	0.1880465565
409	0.1879448247
410	0.1876473523
411	0.1871155557
412	0.1869405658
413	0.1867249752
414	0.1866571645
415	0.1861469306
416	0.18608802
417	0.1856651041
418	0.1853589202
419	0.1846804572
420	0.183847277
421	0.1831940238
422	0.1830013282
423	0.1828137777
424	0.1825950913
425	0.1819967949
426	0.181380188
427	0.1811510052
428	0.1807543573
429	0.1804842037
430	0.1796666563
431	0.1794232731
432	0.1786711058
433	0.1778815208
434	0.1776201923
435	0.1773584789
436	0.17728822
437	0.1770071051
438	0.176551611
439	0.1762598068
440	0.1755941555
441	0.1754570205
442	0.1752812806
443	0.1749179003
444	0.1746559935
445	0.1743527406
446	0.1736884298
447	0.1734049673
448	0.172662573
449	0.1718486451
450	0.1716946429
451	0.1715246576
452	0.17126967
453	0.1710778228
454	0.1707953009
455	0.1704868021
456	0.1701508815
457	0.1698280964
458	0.1695455844
459	0.1690840777
460	0.1683447247
461	0.1676682409
462	0.1674328826
463	0.1671901889
464	0.1669787405
465	0.1662699983
466	0.166229339
467	0.1661783936
468	0.1656915283
469	0.1653698322
470	0.1646620674
471	0.1643815548
472	0.1641476272
473	0.1638715166
474	0.1637646887
475	0.1628628959
476	0.1624077372
477	0.1617778602
478	0.1617199372
479	0.1615820238
480	0.1611694822
481	0.1607503645
482	0.1605091253
483	0.1601039052
484	0.1593822831
485	0.1587092364
486	0.1580468559
487	0.1579980905
488	0.1573085493
489	0.1567956596
490	0.1560603643
491	0.155495399
492	0.15521149
493	0.1544347858
494	0.1541948097
495	0.153705594
496	0.1532225224
497	0.1526942803
498	0.1520648444
499	0.1519116886
500	0.1516428687
501	0.1511115431
502	0.1503955609
503	0.1499131655
504	0.1497472179
505	0.1495340049
506	0.1492463896
507	0.1488892257
508	0.148846465
509	0.1483722871
510	0.1479832939
511	0.1472637726
512	0.147225083
513	0.1469198846
514	0.1466629136
515	0.1463244808
516	0.1461175102
517	0.1458241278
518	0.1456490127
519	0.1452250562
520	0.1448212046
521	0.1443395192
522	0.1439511213
523	0.1436560945
524	0.1430981851
525	0.1426656735
526	0.1424746712
527	0.1420568147
528	0.1415227476
529	0.141050423
530	0.140725142
531	0.140674849
532	0.1404569394
533	0.1402205942
534	0.1400424658
535	0.1397653234
536	0.1392521155
537	0.138738198
538	0.1381578323
539	0.1376392052
540	0.137486047
541	0.1370701508
542	0.1365110115
543	0.1361392068
544	0.1360934542
545	0.1359525781
546	0.1354518872
547	0.1350210033
548	0.1346842022
549	0.134413763
550	0.1340934264
551	0.1335205455
552	0.133406012
553	0.1329855914
554	0.1328856625
555	0.1324676949
556	0.1319563442
557	0.1315826388
558	0.131186387
559	0.1309554065
560	0.1306189949
561	0.1304101734
562	0.1303547888
563	0.1300605894
564	0.1299074983
565	0.129522221
566	0.1293562659
567	0.1290802558
568	0.1287911605
569	0.1284070695
570	0.1282533831
571	0.1276642032
572	0.1276294575
573	0.1275300183
574	0.1273256333
575	0.1269093759
576	0.1265238586
577	0.1262490733
578	0.1257537303
579	0.1254133551
580	0.1250368389
581	0.1245762232
582	0.1244360883
583	0.1240066222
584	0.1236153824
585	0.1232151915
586	0.1226676768
587	0.1225532579
588	0.1224551221
589	0.1219104707
590	0.1215465019
