iter	Passed	Remaining
0	0	752
1	1	756
2	2	757
3	2	715
4	3	698
5	4	694
6	4	675
7	5	666
8	5	652
9	6	648
10	7	640
11	7	633
12	8	625
13	8	618
14	9	612
15	9	607
16	10	605
17	11	602
18	11	598
19	12	607
20	12	603
21	13	600
22	14	598
23	14	594
24	15	592
25	15	590
26	16	587
27	16	585
28	17	583
29	17	581
30	18	579
31	19	577
32	19	576
33	20	576
34	20	575
35	21	572
36	21	571
37	22	570
38	23	568
39	23	566
40	24	570
41	24	569
42	25	568
43	26	566
44	26	565
45	27	564
46	27	564
47	28	564
48	29	565
49	29	564
50	30	563
51	30	562
52	31	561
53	31	560
54	32	562
55	33	563
56	34	563
57	34	562
58	35	561
59	35	560
60	36	559
61	36	558
62	37	556
63	37	555
64	38	554
65	39	553
66	39	552
67	40	550
68	40	549
69	41	549
70	41	548
71	42	547
72	43	546
73	43	545
74	44	544
75	44	543
76	45	542
77	45	541
78	46	540
79	46	539
80	47	538
81	48	537
82	48	536
83	49	535
84	49	534
85	50	533
86	52	549
87	53	550
88	53	549
89	54	549
90	54	549
91	55	548
92	56	547
93	56	547
94	57	545
95	57	544
96	58	543
97	61	565
98	61	564
99	62	563
100	63	561
101	63	560
102	64	559
103	64	558
104	65	557
105	65	555
106	66	554
107	67	553
108	67	552
109	68	551
110	68	550
111	69	549
112	69	548
113	70	546
114	70	545
115	71	544
116	72	543
117	72	542
118	73	541
119	73	540
120	74	539
121	75	540
122	75	540
123	76	539
124	76	538
125	77	537
126	78	536
127	78	535
128	79	534
129	79	533
130	80	532
131	80	531
132	81	530
133	81	529
134	82	528
135	83	527
136	83	526
137	84	526
138	84	525
139	85	524
140	85	523
141	86	522
142	87	521
143	87	520
144	88	519
145	88	518
146	89	517
147	89	516
148	90	516
149	90	515
150	91	514
151	92	513
152	92	512
153	93	511
154	93	510
155	94	509
156	94	508
157	95	507
158	95	506
159	96	505
160	96	505
161	97	504
162	98	503
163	98	502
164	99	502
165	99	501
166	100	500
167	100	500
168	101	499
169	102	498
170	102	497
171	103	496
172	103	495
173	104	495
174	104	494
175	105	493
176	105	492
177	106	491
178	107	491
179	107	490
180	108	489
181	108	488
182	109	488
183	109	487
184	110	486
185	110	485
186	111	484
187	112	484
188	112	483
189	113	482
190	113	481
191	114	481
192	114	480
193	115	479
194	116	478
195	116	478
196	117	477
197	117	477
198	118	476
199	119	476
200	119	476
201	120	475
202	120	474
203	121	473
204	122	473
205	122	472
206	123	471
207	123	470
208	124	470
209	124	469
210	125	468
211	125	468
212	126	467
213	127	466
214	127	465
215	128	465
216	128	464
217	129	463
218	129	463
219	130	462
220	130	461
221	131	460
222	135	472
223	136	472
224	137	472
225	137	471
226	138	471
227	139	470
228	139	470
229	140	469
230	140	468
231	141	467
232	141	467
233	142	466
234	143	465
235	143	465
236	144	465
237	145	465
238	145	464
239	146	463
240	147	463
241	147	462
242	148	461
243	148	461
244	149	460
245	150	460
246	150	459
247	151	458
248	152	458
249	152	458
250	153	458
251	154	457
252	154	457
253	155	456
254	155	455
255	156	454
256	157	454
257	157	453
258	158	453
259	158	452
260	159	451
261	160	451
262	160	450
263	161	450
264	162	450
265	163	449
266	164	452
267	166	453
268	166	453
269	167	453
270	168	452
271	169	452
272	169	452
273	170	452
274	171	452
275	172	451
276	172	451
277	173	450
